indiv	node	x	y
70	47	72.46268467850373	78.4680663240799
71	116	13.434156703861055	13.380918304177488
71	117	13.434156703861055	13.380918304177488
72	0	87.31422588130992	25.294572887718157
72	1	87.31422588130992	25.294572887718157
73	158	88.47734061771307	28.314193596805854
73	159	88.47734061771307	28.314193596805854
74	16	36.19114935928193	4.14174543221362
74	17	36.19114935928193	4.14174543221362
75	112	29.099137986174302	18.971092057363226
75	113	29.099137986174302	18.971092057363226
76	42	77.5319394597646	80.96431583324417
76	43	77.5319394597646	80.96431583324417
77	14	23.21353769407126	25.631537878762202
77	15	23.21353769407126	25.631537878762202
78	92	65.33050816913874	66.04642882556632
78	93	65.33050816913874	66.04642882556632
79	2	6.003752258030837	38.79935492295167
79	3	6.003752258030837	38.79935492295167
